Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
regeneration,regeneration,0,growth,regeneration traits,,regeneration traits,regeneration,,,,,CB
regeneration potential,regeneration potential,0,growth,regeneration traits,,regeneration traits,regeneration potential,,,,,CB
regeneration stage,regeneration stage,0,growth,regeneration traits,,regeneration traits,regeneration stage,,,,,CB
regeneration strategies,regeneration strategies,0,growth,regeneration traits,,regeneration traits,regeneration strategies,,,,,CB
re-sprout,re-sprout,0,growth,regeneration traits,,regeneration traits,re-sprout,,,,,CB
resprout ability,resprout ability,0,growth,regeneration traits,,regeneration traits,resprout ability,,,,,CB
re-sprouter,re-sprouter,0,growth,regeneration traits,,regeneration traits,re-sprouter,,,,,CB
re-sprouting,re-sprouting,0,growth,regeneration traits,,regeneration traits,re-sprouting,,,,,CB
resprouting after fire,resprouting after fire,0,growth,regeneration traits,,regeneration traits,resprouting after fire,,,,,CB
resprouting capacity after trunk breakage,resprouting capacity after trunk breakage,0,growth,regeneration traits,,regeneration traits,resprouting capacity after trunk breakage,,,,,CB
spawning habitat preference,spawning habitat preference,0,life history,reproductive habitat,,reproductive habitat,spawning habitat preference,,,,,CB
spawning location,spawning location,0,life history,reproductive habitat,,reproductive habitat,spawning location,,,,,CB
spawning substrate,spawning substrate,0,life history,reproductive habitat,,reproductive habitat,spawning substrate,,,,,CB
spawning temperature,spawning temperature,0,life history,reproductive habitat,,reproductive habitat,spawning temperature,,,,,NH
clonaity,clonality,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonal growth organs,clonal growth organs,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonal reproduction,clonal reproduction,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonal spreading ability,clonal spreading ability,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonal strategy,clonal strategy,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonality,clonality,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
clonality or vegetative reproduction,clonality or vegetative reproduction,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
type of clonal growth organs,type of clonal growth organs,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
type of clonality,type of clonality,0,life history,reproductive mode,clonal reproduction,clonal reproduction,clonal reproduction,,1,"NH: I'm seeing this as 1) life history, 2) reproductive mode and 3) clonal reproduction.",,CB
aquatic or terrestrial egg deposition,aquatic or terrestrial egg deposition,0,life history,reproductive mode,deposition,deposition,deposition,,,1,primary 'habitat' secondary 'breeding habitat',CB
the way of egg deposition,the way of egg deposition,0,life history,reproductive mode,deposition,deposition,deposition,,1,"NH: ""the way of egg deposition"" and ""egg deposition preference"" seem redundant to me. Even if measured slightly differently.",,CB
egg deposition preference,egg deposition preference,0,life history,reproductive mode,deposition,deposition,deposition,,1,"NH: ""the way of egg deposition"" and ""egg deposition preference"" seem redundant to me. Even if measured slightly differently.",,CB
scarification required,scarification required,1,life history,reproductive mode,germination,germination,germination,,1,,CB: binary for whether or not the plant needed to be 'scarified' to germinate,CB
incubation days: incubation,incubation days: incubation,0,life history,reproductive mode,incubation,incubation,incubation,,,,,CB
incubation periods,incubation periods,0,life history,reproductive mode,incubation,incubation,incubation,,,,,CB
incubation time from embryo fertilization to hatch,incubation time from embryo fertilization to hatch,0,life history,reproductive mode,incubation,incubation,incubation,,,,,CB
nest form,nest form,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest height,nest height,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest location,nest location,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest site selection,nest site selection,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest substrate,nest substrate,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest type,nest type,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nest types,nest types,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting,nesting,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting behaviour,nesting behaviour,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting habitat,nesting habitat,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting habitat preference,nesting habitat preference,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting in man-made structures,nesting in man-made structures,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting in the ground,nesting in the ground,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting location,nesting location,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting placement,nesting placement,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting site,nesting site,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
nesting type,nesting type,0,life history,reproductive mode,nest attributes,nest attributes,nest attributes,,,,,CB
pathenogenesis,parthenogenesis,0,life history,reproductive mode,parthenogenesis,parthenogenesis,parthenogenesis,,,,,CB
pathenogenesis known,parthenogenesis known,0,life history,reproductive mode,parthenogenesis,parthenogenesis,parthenogenesis,,,,,CB
lecty,lecty,1,life history,reproductive mode,pollination,pollination,pollination,,1,,"CB: pollination preference (few, single, multiple plant species)",CB
vector-matching,vector-matching,1,life history,reproductive mode,pollination,pollination,pollination,,1,,CB: relates to pollinator acessibility (pairwise trait between a plant and a pollinator),NH
cone serotiny,cone serotiny,0,life history,reproductive mode,reproductive cue,reproductive cue,reproductive cue,,,,,CB
flower sex,flower sex,0,life history,reproductive mode,reproductive struture,reproductive struture,reproductive structure,,,,,CB
flower sexuality,flower sexuality,0,life history,reproductive mode,reproductive struture,reproductive struture,reproductive structure,,,,,CB
breeding behaviour,breeding behaviour,0,life history,reproductive mode,,reproductive mode,breeding behaviour,activity,,,,CB
asexual reproduction,asexual reproduction,0,life history,reproductive mode,,reproductive mode,asexual reproduction,,,,,CB
brood parasite,brood parasite,0,life history,reproductive mode,,reproductive mode,brood parasite,,,,,NH
brood parasitism,brood parasitism,0,life history,reproductive mode,,reproductive mode,brood parasitism,,,,,NH
brooding,brooding,0,life history,reproductive mode,,reproductive mode,brooding,,,,,CB
capacity to self-fertilize,capacity to self-fertilize,0,life history,reproductive mode,,reproductive mode,capacity to self-fertilize,,,,,CB
capital breeder,capital breeder,0,life history,reproductive mode,,reproductive mode,capital breeder,,,,,CB
cleistogamy,cleistogamy,0,life history,reproductive mode,,reproductive mode,cleistogamy,,,,,CB
cooperative breeder,cooperative breeder,0,life history,reproductive mode,,reproductive mode,cooperative breeder,,,,,CB
fertility system,fertility system,0,life history,reproductive mode,,reproductive mode,fertility system,,,,,CB
fleshy fruit,fleshy fruit,0,life history,reproductive mode,,reproductive mode,fleshy fruit,,,,,CB
ground nesting,ground nesting,0,life history,reproductive mode,,reproductive mode,ground nesting,,,,,CB
income breeder,income breeder,0,life history,reproductive mode,,reproductive mode,income breeder,,,,,CB
inquiline nesting,inquiline nesting,0,life history,reproductive mode,,reproductive mode,inquiline nesting,,,,,CB
kind of breeding water body,kind of breeding water body,0,life history,reproductive mode,,reproductive mode,kind of breeding water body,,1,1,primary 'habitat' secondary 'breeding habitat',CB
larval type,larval type,1,life history,reproductive mode,,reproductive mode,larval type,,1,NH: needs clarification if this to do with reproductive strategy (lecithotrophy vs. planktotrophy) or morpholgy.,,CB
mating behaviour,mating behaviour,0,life history,reproductive mode,,reproductive mode,mating behaviour,,,,,CB
mode of reproduction,mode of reproduction,0,life history,reproductive mode,,reproductive mode,mode of reproduction,,,,,CB
mode of seed storage,mode of seed storage,0,life history,reproductive mode,,reproductive mode,mode of seed storage,,,,,CB
nest parasitized by cowbirds,nest parasitized by cowbirds,1,life history,reproductive mode,,reproductive mode,nest parasitized by cowbirds,,,,,CB
number of queens,number of queens,0,life history,reproductive mode,,reproductive mode,number of queens,,,,,CB
ovovivipary or pasting capsulated eggs on conspecifics,ovovivipary or pasting capsulated eggs on conspecifics,0,life history,reproductive mode,,reproductive mode,ovovivipary or pasting capsulated eggs on conspecifics,,,,,CB
principle means of reproduction,principle means of reproduction,0,life history,reproductive mode,,reproductive mode,principle means of reproduction,,,,,CB
reproduction,reproduction,0,life history,reproductive mode,,reproductive mode,reproduction,,,,,CB
reproduction habitat,reproduction habitat,0,life history,reproductive mode,,reproductive mode,reproduction habitat,,,,,CB
reproduction type,reproduction type,0,life history,reproductive mode,,reproductive mode,reproduction type,,,,,CB
reproductive mode,reproductive mode,0,life history,reproductive mode,,reproductive mode,reproductive mode,,,,,CB
reproductive mode,reproductive mode,1,life history,reproductive mode,,reproductive mode,reproductive mode,,,,,CB
reproductive mode and fecundity,reproductive mode and fecundity,0,life history,reproductive mode,,reproductive mode,reproductive mode and fecundity,,,,,CB
reproductive strategy,reproductive strategy,0,life history,reproductive mode,,reproductive mode,reproductive strategy,,,,,CB
reproductive technique,reproductive technique,0,life history,reproductive mode,,reproductive mode,reproductive technique,,,,,CB
reproductive type,reproductive type,0,life history,reproductive mode,,reproductive mode,reproductive type,,,,,CB
