Trait,DOI,Primary_classification,Secondary_classification
body size,10.1098/rstb.2012.0246,morphology,size
body size,10.1111/fwb.12934,morphology,size
body size,10.1111/oik.01279,morphology,size
body size,10.1093/jpe/rtt075,morphology,size
body size,10.1111/oik.02100,morphology,size
body size plasticity,10.1111/1365-2664.12493,morphology,NA
body size:mass ratio,10.1371/journal.pone.0114290,composition,energy density
body size:mass ratio,10.1016/B978-0-12-420002-9.00002-0,composition,energy density
body standard length,10.1016/j.pocean.2014.10.002,morphology,size
body transversal surface,10.1007/s10641-018-0759-6,morphology,shape
body transverse shape,10.1016/j.dsr.2016.11.011,morphology,shape
body transverse shape,10.1007/s10641-018-0759-6,morphology,shape
body velocity,10.1111/1365-2656.12081,activity,movement
body volume,10.1007/s10750-018-3697-6,morphology,shape
body volume,10.1007/s10750-015-2191-7,morphology,shape
body weight,10.1007/s10641-016-0481-1,morphology,size
body width,10.1111/1365-2664.12493,morphology,shape
body width,10.1111/ele.12081,morphology,shape
body width,10.1007/s10641-016-0506-9,morphology,shape
body width,10.1002/ece3.2328,morphology,shape
body width,10.1111/1365-2435.12838,morphology,shape
boldness,10.1002/ecs2.2125,activity,behaviour
brain size,10.1016/j.anbehav.2012.01.032,morphology,brain size
brain size,10.1111/ecog.02968,morphology,brain size
brain size to body mass ratio,10.1111/ddi.12721,morphology,brain size
branch dieback,10.1007/s00442-010-1684-3,growth,NA
branching type,unknown_24,morphology,shape
breadth of braincase,10.1007/s00442-014-3039-y,morphology,brain size
breeding,10.1111/cobi.12378,life history,fecundity
breeding activity,10.1111/j.1466-8238.2011.00719.x,life history,fecundity
breeding behaviour,10.1111/ecog.02968,life history,reproductive mode
breeding distribution,10.2989/00306520309485376,habitat,breeding habitat
breeding habitat,10.7717/peerj.1410,habitat,breeding habitat
breeding habitat associated with human habitat,10.1007/s00265-006-0160-x,habitat,breeding habitat
breeding habitat type,10.1098/rstb.2010.0130,habitat,breeding habitat
breeding range size,10.1093/beheco/ars040,life history,fecundity
breeding season,10.1111/icad.12051,life history,fecundity
breeding season,10.1111/1365-2664.12493,life history,fecundity
breeding season,10.1016/S0167-8809(01)00333-4,life history,fecundity
breeding success,10.1002/ecy.2179,life history,fecundity
breeding system,10.1007/s11829-016-9444-x,life history,fecundity
breeding system,10.1007/s10531-014-0742-2,life history,fecundity
breeding timing,10.1007/s00442-004-1770-5,life history,fecundity
breeding type,10.1111/j.1466-8238.2011.00719.x,life history,fecundity
broad-leaf,10.1111/jvs.12151,morphology,shape
broad habitat preference,10.1111/j.1466-8238.2011.00719.x,habitat,NA
brood number,10.1111/j.1365-2486.2009.01963.x,life history,fecundity
brood parasite,10.3389/fevo.2017.00084,life history,reproductive mode
brood parasitism,10.1111/oik.04507,life history,reproductive mode
brood size,10.1111/2041-210X.12211,life history,fecundity
brooding,10.1111/oik.01544,life history,reproductive mode
brow tine length,10.1080/1357650X.2017.1293074,morphology,head
brown mark patterns lateral on stripes,10.1111/j.1095-8312.2010.01569.x,morphology,coloration
buds,10.1111/j.1365-2699.2010.02433.x,growth,buds
buoyance,10.1007/s10452-016-9596-x,morphology,buoyancy
buoyancy,10.1111/jvs.12375,morphology,buoyancy
burst swimming speed,10.1073/pnas.1802091115,activity,movement
C body concentration,10.1890/15-1084.1,composition,carbon
C concentration,10.1016/B978-0-12-420002-9.00002-0,composition,carbon
C concentration,10.1371/journal.pone.0114290,composition,carbon
C content,10.1111/j.1529-8817.2010.00890.x,composition,carbon
C content,10.1093/jpe/rtt064,composition,carbon
C isotope composition,10.1016/j.foreco.2018.04.032,composition,carbon
C isotope ratio,10.1111/jvs.12066,composition,carbon
C:N ratio,10.1111/ele.12529,composition,carbon
C:N ratio,10.1890/05-0219,composition,carbon
C:N ratio,10.1007/s00442-014-3101-9,composition,carbon
C:N ratio,10.1111/1365-2745.12489,composition,carbon
C:N ratio,10.1093/jpe/rtt064,composition,carbon
C:N ratio,10.1007/s00442-018-4162-y,composition,carbon
C:N ratio of the leaves,10.1111/1365-2435.12120,composition,carbon
C13,10.1371/journal.pone.0137963,composition,carbon
C13,10.5194/bg-14-3371-2017,composition,carbon
C13 isotopic composition,10.1371/journal.pone.0172879,composition,carbon
Ca%,10.5194/bg-14-3371-2017,composition,calcium
Ca%,10.1111/j.1472-4642.2009.00599.x,composition,calcium
cacheing behaviour,10.2307/1938541,resource acquisition,feeding mode
call bandwidth,10.1002/ece3.5121,activity,vocalization
call duration,10.1111/gcb.12862,activity,vocalization
call duration,10.1002/ece3.5121,activity,vocalization
call frequency,10.1002/ece3.5121,activity,vocalization
call frequency range,10.1111/gcb.12862,activity,vocalization
camouflage,10.1111/oik.01515,activity,defense
canopy arch,10.1046/j.1365-2435.2002.00664.x,habitat,canopy
canopy height,10.1016/j.ppees.2017.07.002,habitat,canopy
canopy height,10.14471/2016.36.015,habitat,canopy
canopy height,10.1016/j.ecss.2015.05.023,habitat,canopy
canopy height,10.1007/s00442-011-1980-6,habitat,canopy
canopy height,10.1111/j.1365-2664.2009.01714.x,habitat,canopy
canopy height,10.1111/j.1461-0248.2010.01456.x,habitat,canopy
canopy height,10.1111/j.1365-2745.2009.01610.x,habitat,canopy
canopy height,10.1111/j.1466-8238.2012.00790.x,habitat,canopy
canopy height,10.1111/1365-2745.12098,habitat,canopy
canopy height,10.7717/peerj.3552,habitat,canopy
canopy height at maturity,10.1111/j.1365-2745.2011.01860.x,life history,age/size at maturity
canopy structure,10.1007/s00442-011-1980-6,habitat,canopy
canopy structure,10.1111/j.1365-2664.2009.01714.x,habitat,canopy
canopy structure,10.1111/j.1365-2745.2009.01610.x,habitat,canopy
canopy structure,10.1002/ecs2.2374,habitat,canopy
canopy water content,10.1073/pnas.1215513110,composition,water
capacity for lateral spread,10.2307/3547051,growth,lateral spread
capacity to self-fertilize,10.1111/geb.12306,life history,reproductive mode
capital breeder,10.1890/13-2036.1,life history,reproductive mode
capture strategy,10.1016/j.ecss.2017.11.016,resource acquisition,feeding mode
capture tools,10.1016/j.ecss.2017.11.016,resource acquisition,feeding mode
carapace length,10.1111/j.1461-0248.2012.01788.x,morphology,size
carapace length,unknown_8,morphology,size
carb storage in root,10.1016/j.actao.2016.06.003,composition,carbohydrate
carb structure in long tap root,10.1016/j.actao.2016.06.003,composition,carbohydrate
carb structure in step,10.1016/j.actao.2016.06.003,composition,carbohydrate
carbon,10.1111/1365-2745.12489,composition,carbon
carbon isotope ratio,10.1111/1365-2745.12747,composition,carbon
carbon isotope ratios of leaves,10.1007/s00442-016-3547-z,composition,carbon
carcass use efficiency,10.1111/2041-210X.12211,resource acquisition,consumption rate
carotenoids,10.5194/bg-14-3371-2017,morphology,coloration
caudal fin aspect ratio,10.1111/faf.12347,morphology,shape
caudal fin aspect ratio,10.7717/peerj.2387,morphology,shape
caudal fin depth,10.1111/1365-2435.12838,morphology,shape
caudal fin depth,10.1016/j.pocean.2014.10.002,morphology,shape
caudal fin depth,10.1007/s10641-016-0506-9,morphology,shape
caudal fin length,10.1016/j.pocean.2014.10.002,morphology,shape
caudal fin length,10.1111/1365-2435.12838,morphology,shape
caudal fin length,10.1007/s10641-016-0506-9,morphology,shape
caudal fin shape,10.1002/ece3.1260,morphology,shape
caudal fin shape,10.1111/faf.12347,morphology,shape
caudal peduncle depth,10.1111/1365-2435.12838,morphology,shape
caudal peduncle depth,10.1002/ece3.2328,morphology,shape
caudal peduncle depth,10.1007/s12080-014-0229-5,morphology,shape
caudal peduncle length,10.1111/1365-2435.12838,morphology,shape
caudal peduncle length,10.1002/ece3.2328,morphology,shape
caudal peduncle throttling,10.1016/j.dsr.2016.11.011,morphology,shape
caudal peduncle throttling,10.1002/ece3.1260,morphology,shape
caudal peduncle throttling,10.1007/s10641-018-0759-6,morphology,shape
caudal peduncle width,10.1007/s10641-016-0506-9,morphology,shape
caudal peduncle width,10.1111/1365-2435.12838,morphology,shape
ceiling temperatures,10.1007/s00035-018-0199-0,resource acquisition,temperature tolerance
cell biovolume,10.3390/w11020222,morphology,cell biovolume
cell shape,10.1111/gcb.13085,morphology,shape
cell size,10.1007/s10750-013-1711-6,morphology,size
cell size,10.1016/j.ecolind.20.17.05.066,morphology,size
cell size,10.1007/s10452-017-9634-3,morphology,size
cell size,10.1086/690764,morphology,size
cell size,10.1111/gcb.13085,morphology,size
cell size,10.1111/fwb.12966,morphology,size
cell size,10.1093/plankt/fbp098,morphology,size
cellulose %,10.1016/j.rse.2015.06.010,composition,cellulose
cellulose %,10.5194/bg-14-3371-2017,composition,cellulose
change in feeding regime,10.3389/fpls.2016.01224,resource acquisition,consumption rate
chemical composition,10.1007/s12080-014-0229-5,composition,chemcial composition
chemical defense,10.1073/pnas.1401949111,morphology,defense
chemical defense,10.1111/1365-2656.12250,morphology,defense
chemical defenses,10.1111/j.1654-1103.2012.01424.x,morphology,defense
chemical structural-compositional similarity,10.1002/ecy.2533,composition,chemcial composition
chemical tolerance,10.1111/1752-1688.12650,habitat,pollution tolerance
chick provisioning mode,10.2989/00306520309485376,activity,behaviour
chilling requirement to break primary dormancy,10.1111/wre.12126,resource acquisition,temperature tolerance
chitin,10.1111/1365-2745.12633,composition,NA
chl a b anc total concentrations,10.1002/ece3.1286,composition,chlorophyll
chlorophyll a,10.5194/bg-14-3371-2017,composition,chlorophyll
chlorophyll a:b ratio,10.1556/ComEc.14.2013.1.4,composition,chlorophyll
chlorophyll b,10.5194/bg-14-3371-2017,composition,chlorophyll
chorology,10.18054/pb.2016.118.3.3924,habitat,range
cibrissae,10.1111/1365-2656.12218,morphology,sensing
circumperineal coloration,10.1002/ajp.22374,morphology,coloration
cleaning behaviour,10.1111/1365-2656.12250,activity,behaviour
cleistogamy,10.1371/journal.pone.0090437,life history,reproductive mode
cleptoparasitc,10.1111/1365-2656.12648,life history,reproductive mode
climate change tolerance,10.1111/1365-2656.12829,resource acquisition,temperature tolerance
climatic tolerance,10.1046/j.1523-1739.2002.02283.x,resource acquisition,temperature tolerance
climatic zone inhabited,10.1002/ecm.1297/full,resource acquisition,temperature tolerance
clinger,10.1046/j.1365-2427.1997.00166.x,growth,NA
clonal growth organs,10.1016/j.ppees.2017.07.002,life history,reproductive mode
clonal growth organs,unknown_24,life history,reproductive mode
clonal reproduction,10.1002/ecs2.2164,life history,reproductive mode
clonal spreading ability,10.1038/s41598-018-32078-x,life history,reproductive mode
clonal strategy,10.1111/j.1365-2745.2011.01860.x,life history,reproductive mode
clonality,10.1080/17550874.2017.1345997,life history,reproductive mode
clonality,10.1016/j.biocon.2011.11.033,life history,reproductive mode
clonality,10.1111/j.1365-2745.2009.01610.x,life history,reproductive mode
clonality,10.1111/j.1365-2745.2010.01650.x,life history,reproductive mode
clonality,10.1016/j.actao.2016.06.003,life history,reproductive mode
clonality,unknown_5,life history,reproductive mode
clonality,10.1111/ecog.02516,life history,reproductive mode
clonality,10.1093/aob/mcu113,life history,reproductive mode
clonality or vegetative reproduction,10.1111/geb.12249,life history,reproductive mode
clutch dry mass,10.1111/2041-210X.12211,life history,fecundity
clutch size,10.1111/j.1461-0248.2010.01493.x,life history,fecundity
clutch size,10.7717/peerj.3092,life history,fecundity
clutch size,10.1111/geb.12148,life history,fecundity
clutch size,10.1007/s10021-015-9875-8,life history,fecundity
clutch size,10.2307/2937081,life history,fecundity
clutch size,10.1111/1365-2656.12838,life history,fecundity
clutch size,10.1111/j.1365-2656.2010.01660.x,life history,fecundity
clutch size,10.1111/jbi.12808,life history,fecundity
clutch size,10.1111/j.1600-0633.2010.00465.x,life history,fecundity
clutch size,10.1111/2041-210X.12211,life history,fecundity
clutch size,10.1017/S0952836900002016,life history,fecundity
clutch size,10.1111/ele.12728,life history,fecundity
clutch size,10.1038/ncomms9877,life history,fecundity
clutch size,10.1111/1365-2656.12570,life history,fecundity
clutch size,10.1016/j.anbehav.2005.05.010,life history,fecundity
clutch size,10.1371/journal.pone.0090437,life history,fecundity
clutches per year,10.1111/ele.12728,life history,fecundity
clypeus length,10.1016/j.foreco.2019.01.021,morphology,head
clypeus length,10.1111/icad.12248,morphology,head
CO2 assimilation rate,10.1111/1365-2435.13079,resource acquisition,photosynthetic rate
coat chemical content,10.1111/jvs.12375,composition,NA
coat water permeability,10.1111/jvs.12375,morphology,NA
cohort production interval,10.1111/1365-2435.13141,life history,fecundity
cold stratification required,10.1111/j.1472-4642.2007.00381.x,resource acquisition,temperature tolerance
cold tolerance,10.1002/ece3.3297,resource acquisition,temperature tolerance
coleoptile tissue density,10.1007/s00442-015-3430-3,morphology,tissue density
collective foraging strategy,10.7717/peerj.1241,resource acquisition,feeding mode
colonization,10.1890/ES13-00102.1,activity,colonization
colonization ability,10.1111/1365-2745.13074,activity,colonization
colonization rates,10.1111/jvs.12252,activity,colonization
colony formation,10.1007/s10452-016-9596-x,activity,colony attributes
colony foundation type,10.7717/peerj.1241,activity,colony attributes
colony growth form,10.1111/j.1461-0248.2012.01861.x,activity,colony attributes
colony size,10.1111/1365-2656.12747,activity,colony attributes
colony size,10.7717/peerj.1241,activity,colony attributes
colony size,10.1890/14-2326.1.sm,activity,colony attributes
color,10.1002/ece3.908,morphology,coloration
coloration,10.1371/journal.pone.0130571,morphology,coloration
coloration,10.1046/j.1365-2427.2002.00908.x,morphology,coloration
colour,10.1111/1365-2656.12218,morphology,coloration
colour,10.1111/ele.12081,morphology,coloration
colour,10.1111/1365-2435.12075,morphology,coloration
colour,10.1016/j.yhbeh.2007.08.004,morphology,coloration
colour,10.1111/j.1365-2699.2007.01824.x,morphology,coloration
colour pattern,10.1111/j.1365-2656.2010.01759.x,morphology,coloration
colour patterning,10.1111/j.1095-8312.2008.01112.x,morphology,coloration
commercially fished,10.1016/S0065-2881(09)56004-X,survival,managed species
competition ability,10.1111/faf.12155,resource acquisition,competitive ability
competition sensitive traits,10.1023/B:BIOC.0000004319.91643.9e,resource acquisition,competitive ability
competitive ability,10.1016/j.biocon.2011.11.033,resource acquisition,competitive ability
competitive ability,10.1111/1365-2664.12493,resource acquisition,competitive ability
competitive ability,10.1111/1365-2745.13074,resource acquisition,competitive ability
competitive ability,10.1046/j.1365-2427.2002.00908.x,resource acquisition,competitive ability
